Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
tensor-correa-poly-v-onix-prisma-cobal-spin;Tensor Correa Poly-v Onix Prisma Cobal Spin;;;;;;;;52057.16;;0.00;0.00;0.00;0.00;1;94702968;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-ori-cruze-sonic-tracker;Crapodina Embrague -ori/cruze/sonic/tracker;;;;;;;;300425.43;;0.00;0.00;0.00;0.00;1;25202592;;SI;NO;;;;;Auto;SI;;;;
tapa-superior-bomba-flotante-c-bba-corsa-classic-celta;Tapa Superior Bomba Flotante C/bba Corsa /classic/celta;;;;;;;;17168.55;;0.00;0.00;0.00;0.00;1;C91909111I;;SI;NO;;;;;Auto;SI;;;;
ruleman-empuje-trailblazer-s10-2-8-12-general-mot;Ruleman Empuje Trailblazer/s10 2.8 12/ General Mot;;;;;;;;73080.8;;0.00;0.00;0.00;0.00;1;24046020;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-spark;Filtro Aceite Spark;;;;;;;;13338.72;;0.00;0.00;0.00;0.00;1;25183779;;SI;NO;;;;;Auto;SI;;;;
cable-comando-cambio-3790-largo-corsa-05-fun;Cable Comando Cambio 3790 Largo Corsa 05/fun;;;;;;;;30626.49;;0.00;0.00;0.00;0.00;1;C7112651-F;;SI;NO;;;;;Auto;SI;;;;
buje-parrilla-suspension-inferior-capemi-1701-post-amarok;Buje Parrilla Suspension Inferior Capemi 1701 Post. Amarok;;;;;;;;34656.03;;0.00;0.00;0.00;0.00;1;2H0407182A-C;;SI;NO;;;;;Auto;SI;;;;
kit-distribucion-fluence-meg3-k4m-skf6021a;Kit Distribucion Fluence/meg3 K4m Skf6021a;;;;;;;;238235;;0.00;0.00;0.00;0.00;1;R10911922S;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-hidra-ina-meriva-corsa-ii;Crapodina Embrague Hidra.ina Meriva/corsa Ii**;;;;;;;;139809.5;;0.00;0.00;0.00;0.00;1;510007310;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-derecho-exterior-classic-10;Faro Trasero Derecho Exterior Classic 10/;;;;;;;;24511.13;;0.00;0.00;0.00;0.00;1;C94509639A;;SI;NO;;;;;Auto;SI;;;;
