Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
buje-barra-estab-capemi-1699-amarok;Buje Barra Estab.capemi 1699 Amarok;;;;;;;;30,654.62;;0.00;0.00;0.00;0.00;1;2H0411313B-C;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-derecho-exterior-fitam-classic-2010;Faro Trasero Derecho Exterior -fitam- Classic 2010/;;;;;;;;57,597.91;;0.00;0.00;0.00;0.00;1;C94509639F;;SI;NO;;;;;Auto;SI;;;;
codo-conexion-emb-skf-vk5401105-tracker-corsa-03;Codo Conexion Emb.-skf-vk5401105-tracker Corsa 03/;;;;;;;;129,242.14;;0.00;0.00;0.00;0.00;1;C7214001-S;;SI;NO;;;;;Auto;SI;;;;
cano-inferior-radiador-13057-agile-1-4;Caño Inferior Radiador -13057- Agile 1.4;;;;;;;;52,935.96;;0.00;0.00;0.00;0.00;1;C12105155C;;SI;NO;;;;;Auto;SI;;;;
valvula-control-canister-corsa-ii-meriva;Valvula Control Canister Corsa Ii/meriva;;;;;;;;96,649.32;;0.00;0.00;0.00;0.00;1;93397793;;SI;NO;;;;;Auto;SI;;;;
tapa-superior-flotante-chevrolet-meriva-todos-02-04;Tapa Superior Flotante Chevrolet Meriva Todos 02/04;;;;;;;;120,349.90;;0.00;0.00;0.00;0.00;1;19027F;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-toyota-2640563-acdelco-hilux-corolla;Filtro Aceite Toyota 2640563 Acdelco Hilux/corolla;;;;;;;;74,324.11;;0.00;0.00;0.00;0.00;1;T1155612-A;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-skf-vkds-4930-a-classic-10;Rotula Suspension Skf Vkds 4930 A Classic 10/;;;;;;;;94,080.09;;0.00;0.00;0.00;0.00;1;VKDS 4930 A;;SI;NO;;;;;Auto;SI;;;;
filtro-aire-acdelco-sonic-spin-cobalt-acdelco;Filtro Aire Acdelco Sonic/spin/cobalt Acdelco;;;;;;;;28,555.91;;0.00;0.00;0.00;0.00;1;19350509;;SI;NO;;;;;Auto;SI;;;;
electrobomba-combustible-bosch-4-2bar-vw-fox-tre;Electrobomba Combustible Bosch (4.2bar) Vw Fox Tre;;;;;;;;253,890.56;;0.00;0.00;0.00;0.00;1;0580453481;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-original-ventop-2-0-polo-2-scirocco-1;Filtro Aceite (original) Ventop 2.0 Polo 2 Scirocco 1;;;;;;;;93,138.65;;0.00;0.00;0.00;0.00;1;03C115561H--;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-dist-aveo;Tensor Correa Dist Aveo;;;;;;;;146,029.74;;0.00;0.00;0.00;0.00;1;25183772;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-d-h-corsa-ii-meriva-general-motors;Tensor Correa D/h Corsa Ii/meriva General Motors;;;;;;;;94,442.82;;0.00;0.00;0.00;0.00;1;24591479;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-hidr-astra-99-tdsl;Crapodina Embrague Hidr. Astra 99/ Tdsl;;;;;;;;191,311.82;;0.00;0.00;0.00;0.00;1;C1411659-I;;SI;NO;;;;;Auto;SI;;;;
tapa-de-valvulas-s-10-astra-vect-zafira;Tapa De Valvulas S-10/astra/vect/zafira**;;;;;;;;142,634.59;;0.00;0.00;0.00;0.00;1;C1036492-I;;SI;NO;;;;;Auto;SI;;;;
flotante-c-bomba-comb-bosch-classic-1-4-agile1-4;Flotante C/bomba Comb Bosch Classic 1.4/agile1.4**;;;;;;;;683,445.62;;0.00;0.00;0.00;0.00;1;0580313180;;SI;NO;;;;;Auto;SI;;;;
interruptor-pedal-emb-aveo;Interruptor Pedal Emb Aveo;;;;;;;;87,939.76;;0.00;0.00;0.00;0.00;1;96892524;;SI;NO;;;;;Auto;SI;;;;
circuito-impreso-imp-faro-trasero-izquierda-onix-13;Circuito Impreso Imp. Faro Trasero Izquierda Onix 13/;;;;;;;;151,627.64;;0.00;0.00;0.00;0.00;1;C94525717I;;SI;NO;;;;;Auto;SI;;;;
cable-embrague-original-corsa-largo-97-00;Cable Embrague -original- Corsa Largo 97/00;;;;;;;;98,121.76;;0.00;0.00;0.00;0.00;1;C72133512O;;SI;NO;;;;;Auto;SI;;;;
kit-palanca-cambios-y-gatillo-gris-adap-agile;Kit Palanca Cambios Y Gatillo Gris Adap. Agile;;;;;;;;107,077.20;;0.00;0.00;0.00;0.00;1;C7111179GA;;SI;NO;;;;;Auto;SI;;;;
kit-de-led-c6-mini-sin-cooler-h4-6-gen-20000lm-chi;Kit De Led C6 Mini Sin Cooler H4 6 Gen 20000lm Chi;;;;;;;;57,861.35;;0.00;0.00;0.00;0.00;1;C6MINI-H4;;SI;NO;;;;;Auto;SI;;;;
kit-de-distribucion-trend-voyage-fox-suran-poly-v;Kit De Distribucion Trend Voyage Fox Suran Poly V;;;;;;;;340,399.60;;0.00;0.00;0.00;0.00;1;VKMA 01107 A1;;SI;NO;;;;;Auto;SI;;;;
tapa-de-valvulas-aveo-cruze-sonic-tracker;Tapa De Valvulas Aveo/cruze/sonic/tracker;;;;;;;;252,183.12;;0.00;0.00;0.00;0.00;1;C1036493-I;;SI;NO;;;;;Auto;SI;;;;
correa-distrib-171x24-continental-vectra-2-2-16v;Correa Distrib.171x24-continental-vectra 2.2 16v**;;;;;;;;220,577.91;;0.00;0.00;0.00;0.00;1;C10911915C;;SI;NO;;;;;Auto;SI;;;;
sop-motor-trasero-adap-aveo;Sop.motor Trasero Adap. Aveo;;;;;;;;186,463.59;;0.00;0.00;0.00;0.00;1;40083;;SI;NO;;;;;Auto;SI;;;;
selectora-imp-aveo-10;Selectora Imp. Aveo 10/;;;;;;;;90,438.15;;0.00;0.00;0.00;0.00;1;C71102323I;;SI;NO;;;;;Auto;SI;;;;
correa-distrib-z135-continentaltrend-voyage-fox-1;Correa Distrib Z=135 Continentaltrend Voyage Fox 1;;;;;;;;101,410.70;;0.00;0.00;0.00;0.00;1;030109119ABC;;SI;NO;;;;;Auto;SI;;;;
kit-palanca-cambios-y-gatillo-negro-adap-agile;Kit Palanca Cambios Y Gatillo Negro Adap. Agile;;;;;;;;107,077.20;;0.00;0.00;0.00;0.00;1;C7111179NA;;SI;NO;;;;;Auto;SI;;;;
kit-fuelle-asiento-tope-cazoleta-amortig-delatero-corsa;Kit Fuelle/asiento/tope/cazoleta Amortig Delatero Corsa;;;;;;;;63,843.77;;0.00;0.00;0.00;0.00;1;C41213513K;;SI;NO;;;;;Auto;SI;;;;
soporte-motor-delatero-rg1257-astra-meriva-zafira-8v;Soporte Motor Delatero Rg1257 Astra/meriva/zafira 8v;;;;;;;;0.00;;0.00;0.00;0.00;0.00;;;;SI;NO;;;;;Auto;SI;;;;
